name,dyn
戴贞素,清末近现代初
夏敬观,清末近现代初
王其元,清末近现代初
周水平,清末近现代初
王恩汾,清末近现代初
薛昂若,清末近现代初
吴妍因,清末近现代初
苏蕙,魏晋末南北朝初
释木鱼,近现代
邱汝滨,近现代
刘衡如,近现代
宗远崖,近现代
刘三,近现代
常国武,近现代
邱清泉,近现代
郭风惠,近现代
龙榆生,近现代
石维岩,近现代
汪石青,近现代
钱宝琮,近现代
夏承焘,近现代
洪铁涛,近现代
唐鼎元,近现代
马占山,近现代
马君武,近现代
邓中夏,近现代
占谷堂,近现代
古公鲁,近现代
李叔同,近现代
任锐,近现代
刘伯坚,近现代
刘振美,近现代
吉鸿昌,近现代
孙中山,近现代
许世英,近现代
许晓轩,近现代
何叔衡,近现代
余文涵,近现代
吴佩孚,近现代
宋教仁,近现代
张元济,近现代
张剑珍,近现代
张瑞玑,近现代
李大钊,近现代
李烈钧,近现代
杨匏安,近现代
杨超,近现代
汪精卫,近现代
邵元冲,近现代
陈去病,近现代
陈松山,近现代
周文雍,近现代
周钟岳,近现代
周恩来,近现代
欧阳梅生,近现代
罗学瓒,近现代
郁华,近现代
金天羽,近现代
恽代英,近现代
秋瑾,近现代
赵娴清,近现代
夏明翰,近现代
高波,近现代
章炳麟,近现代
萧红,近现代
黄兴,近现代
黄治峰,近现代
曾琦,近现代
鲁迅,近现代
熊式辉,近现代
熊亨瀚,近现代
蔡和森,近现代
蔡济黄,近现代
魏嫲,近现代
瞿秋白,近现代
马一浮,近现代
马少波,近现代
毛泽东,近现代
冯友兰,近现代
叶圣陶,近现代
叶剑英,近现代
石凌鹤,近现代
朱德,近现代
江青,近现代
舒庆春,近现代
何满子,近现代
吴宗慈,近现代
张大千,近现代
杜宣,近现代
沈祖棻,近现代
沈雁冰,近现代
苏步青,近现代
邵式平,近现代
陈叔通,近现代
陈封怀,近现代
陈独秀,近现代
陈毅,近现代
林伯渠,近现代
罗家伦,近现代
郁达夫,近现代
姚雪垠,近现代
洪传经,近现代
胡先啸,近现代
胡适,近现代
唐生智,近现代
郭沫若,近现代
钱俊瑞,近现代
顾随,近现代
梁寒操,近现代
程天放,近现代
董必武,近现代
谢觉哉,近现代
溥儒,近现代
启功,近现代
钱钟书,近现代
林庚白,近现代
汪玢,近现代
梁三苏,近现代
王彦行,近现代
张鳦生,近现代
茅于美,近现代
庞俊,近现代
吴世昌,近现代
王季思,近现代
彭靖,近现代
刘东父,近现代
周作人,近现代
胡绳,近现代
范天烈,近现代
萧劳,近现代
温倩华,近现代
冯振,近现代
黄侃,近现代
张鸿,近现代
刘玉璋,近现代
裘祖诰,近现代
郭仲达,近现代
李超琼,近现代
高树,近现代
舒云逵,近现代
曾国才,近现代
乔树楠,近现代
席子研,近现代
陈湋,近现代
冯誉骢,近现代
陈顺彬,近现代
方鹤斋,近现代
梁清芬,近现代
马继华,近现代
严雁峰,近现代
李景复,近现代
刘光阁,近现代
苏启元,近现代
吴之英,近现代
刘咸荥,近现代
吴朝品,近现代
盛世英,近现代
黄锡朋,近现代
李永镇,近现代
张朝墉,近现代
周凤翔,近现代
王昌麟,近现代
王乃澄,近现代
胡念祖,近现代
廖光,近现代
万正常,近现代
徐炯,近现代
赵增瑀,近现代
陈国常,近现代
陈际盛,近现代
杜关,近现代
黄洪冕,近现代
宋辅仁,近现代
方守敦,近现代
冯骧,近现代
骆成骧,近现代
惺伯民,近现代
陈宗和,近现代
黄英,近现代
苏继祖,近现代
王宸居,近现代
朱子镛,近现代
梁叔子,近现代
梁季子,近现代
吴庚,近现代
赵清源,近现代
吴虞,近现代
袁嘉谷,近现代
许家惺,近现代
许宝蘅,近现代
王汝赓,近现代
江庸,近现代
张秉衡,近现代
郭象升,近现代
胡雪抱,近现代
郁曼陀,近现代
洪存恕,近现代
黄福基,近现代
黄仁基,近现代
吴蕉园,近现代
刘凤梧,近现代
王浩,近现代
常燕生,近现代
丰子恺,近现代
林散之,近现代
李冰若,近现代
俞长源,近现代
涂世恩,近现代
胡士瑩,近现代
李祁,近现代
萧碧梧,近现代
张采庵,近现代
施蛰存,近现代
罗元贞,近现代
宛敏灏,近现代
吴寿彭,近现代
冒效鲁,近现代
张涤华,近现代
张中行,近现代
刘家传,近现代
潘受,近现代
佟绍弼,近现代
周采泉,近现代
曹明贤,近现代
程千帆,近现代
金紫衡,近现代
彭鹤濂,近现代
孙玄常,近现代
黄假我,近现代
胡铉,近现代
孙家遂,近现代
单人耘,近现代
俞律,近现代
朱帆,近现代
罗锦堂,近现代
薛青萍,近现代
宋词,近现代
李大防,近现代
僧果玲,近现代
王宣猷,近现代
王再咸,近现代
魏幼禽,近现代
邢锦生,近现代
曾彦,近现代
吴保初,近现代
李继熙,近现代
吴梅,近现代
乔大壮,近现代
胡先骕,近现代
谢觐虞,近现代
詹安泰,近现代
吕小薇,近现代
寇梦碧,近现代
孔凡章,近现代
王德钟,近现代
陶博吾,近现代
吴玉如,近现代
黄公渚,近现代
丁宁,近现代
邓拓,近现代
饶锷,近现代
陈锦汉,近现代
张克家,近现代
沈轶刘,近现代
唐圭璋,近现代
刘谦,近现代
冯至,近现代
姚鹓雏,近现代
马浮,近现代
邓潜,近现代
邓嘉缜,近现代
王陆一,近现代
顾宪融,近现代
黄祝蕖,近现代
苏渊雷,近现代
杨杏佛,近现代
温树校,近现代
龚隐轩,近现代
杨易霖,近现代
吴绍烈,近现代
芍印,近现代
章衣萍,近现代
薛建吾,近现代
江上青,近现代
李刚己,近现代
吴嘉谟,近现代
冯明权,近现代
李倜渔,近现代
邓均吾,近现代
潘顺卿,近现代
张其锽,近现代
胡怀琛,近现代
顾保瑢,近现代
徐谦,近现代
姚光,近现代
钱来苏,近现代
黄驾白,近现代
陈配德,近现代
林梦周,近现代
刘海粟,近现代
林南强,近现代
谢星楼,近现代
连横,近现代
邓桐芬,近现代
卢前,近现代
王理孚,近现代
陈运彰,近现代
王揖唐,近现代
李释戡,近现代
李洸,近现代
袁思永,近现代
吴庆焘,近现代
吴昌绶,近现代
吕思勉,近现代
蔡锷,近现代
苏大山,近现代
麦孟华,近现代
邓诩,近现代
王用宾,近现代
秦力山,近现代
周学藩,近现代
马叙伦,近现代
梅冷生,近现代
郑猷,近现代
黄光,近现代
刘景晨,近现代
朱荫龙,近现代
朱自清,近现代
胡斗南,近现代
魏毓兰,近现代
贾景德,近现代
王亚南,近现代
王季烈,近现代
袁思亮,近现代
浦武,近现代
黄君坦,近现代
黄懋谦,近现代
袁毓麟,近现代
梁鸿志,近现代
傅子余,近现代
董康绶,近现代
任援道,近现代
陈宗藩,近现代
廖恩焘,近现代
谭泽闿,近现代
江亢虎,近现代
曹熙宇,近现代
章茻,近现代
吴庠,近现代
陈能群,近现代
何嘉,近现代
汪彦斌,近现代
蔡晋镛,近现代
向迪琮,近现代
吕贞白,近现代
许承尧,近现代
赵毓松,近现代
杨秀先,近现代
林思进,近现代
吕美荪,近现代
辛际周,近现代
郦承铨,近现代
罗庄,近现代
陈柱,近现代
胡漪如,近现代
寿森,近现代
刘祖霞,近现代
郑德涵,近现代
张充和,近现代
施叔范,近现代
陈紫荷,近现代
萧梦霞,近现代
陈小翠,近现代
徐兆玮,近现代
徐枕亚,近现代
翁春孙,近现代
陆宝树,近现代
杨云史,近现代
俞可师,近现代
闻一多,近现代
杨无恙,近现代
陈昌任,近现代
黄炎培,近现代
范烟桥,近现代
易君左,近现代
王冷斋,近现代
谢留育,近现代
沈松寿,近现代
徐补堂,近现代
徐征吉,近现代
缪祉保,近现代
夏纬森,近现代
沙曾达,近现代
吴宜孙,近现代
吴卓澄,近现代
胡山源,近现代
钱少华,近现代
谢龙升,近现代
谢冶盦,近现代
徐宾华,近现代
李仲林,近现代
刘济农,近现代
夏纬明,近现代
王益初,近现代
李西庚,近现代
廖慕禹,近现代
叶云峰,近现代
杨民仁,近现代
吴天鹏,近现代
孙俊在,近现代
章以荣,近现代
吴诚,近现代
吴理堂,近现代
章作霖,近现代
吴中伟,近现代
夏宝圻,近现代
刘文中,近现代
刘瑞清,近现代
薛应龙,近现代
薛双甲,近现代
吴承楷,近现代
吴中育,近现代
吴梦庚,近现代
吴文治,近现代
叶楚伧,近现代
陈衡恪,近现代
陈逸云,近现代
张兰思,近现代
汪曾武,近现代
夏仁虎,近现代
王琴希,近现代
朱西溪,近现代
吴则虞,近现代
洪汝闿,近现代
陈衍,近现代
林葆恒,近现代
关赓麟,近现代
姚亶素,近现代
谭祖任,近现代
谢抡元,近现代
崔师贯,近现代
高拱元,近现代
周庆云,近现代
张荃,近现代
黎六禾,近现代
黄佛颐,近现代
夏瞿禅,近现代
胡蕴,近现代
杜芷芗,近现代
周云阁,近现代
朱士嵩,近现代
殷曰同,近现代
殷质卿,近现代
许国凤,近现代
王镜寰,近现代
吴观岱,近现代
芮麟,近现代
强耕星,近现代
钱钟汉,近现代
钱穆,近现代
廉建中,近现代
刘览庭,近现代
陆玄默,近现代
胡汀鹭,近现代
顾毓琇,近现代
冯其庸,近现代
窦镇,近现代
程景溪,近现代
王莘,近现代
诸祖荫,近现代
华世奎,近现代
薛正,近现代
薛葆煌,近现代
杨玉英,近现代
廉泉,近现代
杨令茀,近现代
冯君辉,近现代
吴廷枢,近现代
董国安,近现代
王景果,近现代
周之濂,近现代
孙承芳,近现代
孙承祜,近现代
贾声涛,近现代
阎甲斌,近现代
潘顾铭,近现代
赵开第,近现代
张德崇,近现代
李春泉,近现代
张传楷,近现代
张树筠,近现代
张树荃,近现代
张可琴,近现代
孔馨亭,近现代
胡锡候,近现代
何金江,近现代
郭赞卿,近现代
黄仙槎,近现代
姚云锦,近现代
王泽普,近现代
王瑞甫,近现代
暴焕章,近现代
金振澜,近现代
刘骏声,近现代
于氏（沧州,近现代
刘清漳,近现代
裘庆元,近现代
杨秀章,近现代
李品三,近现代
安鉴培,近现代
秦宝瓒,近现代
范廷铨,近现代
凌学攽,近现代
秦敦世,近现代
杨味云,近现代
吴廷铨,近现代
孙揆均,近现代
侯学愈,近现代
奚铮,近现代
侯鸿鉴,近现代
孙肇圻,近现代
胡介昌,近现代
孙伯亮,近现代
陈光汉,近现代
吴毓麟,近现代
徐则,近现代
黄光焘,近现代
李醉芳,近现代
徐世昌,近现代
邓缵先,近现代
马宁邦,近现代
周应沣,近现代
易君佐,近现代
水梓,近现代
陶天白,近现代
马维麟,近现代
张海舫,近现代
邓芑州,近现代
于佑任,近现代
李根源,近现代
王子钝,近现代
受庆龙,近现代
李竺勋,近现代
杨寿杓,近现代
李四光,近现代
蒋介石,近现代
梁希,近现代
严古津,近现代
孙保圻,近现代
黄浚,近现代
溥叔明,近现代
陈寥士,近现代
潘其璇,近现代
姜忠奎,近现代
周麟书,近现代
黄懿娴,近现代
齐璜,近现代
仇埰,近现代
刘鹏年,近现代
丁三在,近现代
丁上左,近现代
